"cname","sname","Sequence","Order","Suborder","Infraorder","Family","Genus","Adult.survival","Age.at.first.breeding","Maximum.longevity","Z","GenFLS","GenFL","GenFS","GenLength","Priority.for.research","rmax1","perc_growth","resid"
"Crowned Woodnymph","Thalurania colombica",1452,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Thalurania",0.531115139,0.897539436,7.073831188,0.142143345,1.945803815,1.775458205,2.030259178,1.945803815,"Low",0.409441684959623,50.5976740885986,0.00128343712929296
"Asian Rosy-finch","Leucosticte arctoa",10117,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Fringillidae","Leucosticte",0.486560361,1,7.654302601,0.142143345,1.92243993,1.94586483,1.947648612,1.94586483,"Medium",0.402912888002213,49.6176551058145,0.00780605958499636
"Colima Warbler","Leiothlypis crissalis",10544,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Leiothlypis",0.477516162,1.072344836,7.113380965,0.142143345,1.946424873,1.931037919,1.986279636,1.946424873,"Low",0.392398915869168,48.0528199810515,0.0182633664914386
"Calliope Hummingbird","Selasphorus calliope",1558,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Selasphorus",0.471276146,0.999452355,7.672353017,0.142143345,1.871284591,1.947960776,1.890798835,1.947960776,"Low",0.407085040126768,50.2431867225893,0.00342192386303852
"Le Conte's Sparrow","Ammospiza leconteii",10394,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Passerellidae","Ammospiza",0.507445444,0.840464013,8.634451398,0.142143345,1.850571857,1.948327451,1.87069597,1.948327451,"Low",0.428372167032869,53.4757160711137,-0.0179022648045403
"Red-naped Sapsucker","Sphyrapicus nuchalis",3901,"PICIFORMES","PICIFORMES","PICIFORMES","Picidae","Sphyrapicus",0.493258965,1.026723892,7.182332284,0.142143345,1.950032103,1.901702659,2.000118448,1.950032103,"Low",0.396283818731983,48.6291094948321,0.0140138778087225
"Red-billed Streamertail","Trochilus polytmus",1498,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Trochilus",0.50676238,0.960099982,7.656138859,0.142143345,1.952572705,1.911897346,1.987520356,1.952572705,"Low",0.40471191268593,49.8870632237354,0.00532941128660602
"Kamchatka Leaf-warbler","Phylloscopus examinandus",7952,"PASSERIFORMES","PASSERI","SYLVIOID OSCINES","Phylloscopidae","Phylloscopus",0.34125,1,7.702916667,0.142143345,1.516555096,1.952774996,1.518026565,1.952774996,"Low",0.438143599940486,54.9827446569913,-0.0281226747289132
"Pin-tailed Whydah","Vidua macroura",9858,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Viduidae","Vidua",0.508870974,0.902445037,8.291947175,0.142143345,1.902436479,1.952813589,1.938569858,1.952813589,"Low",0.415219371748831,51.4702987291239,-0.00520233796322134
"Xantus's Hummingbird","Basilinna xantusii",1510,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Basilinna",0.513290576,0.964945021,7.348934328,0.142143345,1.953224873,1.872386616,2.019559028,1.953224873,"Low",0.401937466338376,49.4717859572612,0.00803810149494977
"Cordilleran Flycatcher","Empidonax occidentalis",5857,"PASSERIFORMES","TYRANNI","NEW WORLD SUBOSCINES","Tyrannidae","Empidonax",0.484315543,0.997354874,7.724433061,0.142143345,1.91223485,1.95356427,1.936525207,1.95356427,"Low",0.404004207907423,49.7810249591746,0.00593714829772235
"Slate-throated Gnatcatcher","Polioptila schistaceigula",8553,"PASSERIFORMES","PASSERI","CERTHIOD OSCINES","Polioptilidae","Polioptila",0.540616467,0.932175656,5.753447128,0.142143345,1.955379245,1.61748731,2.109005969,1.955379245,"Low",0.399902466676728,49.1679202116217,0.0098560393848216
"Greenish Puffleg","Haplophaedia aureliae",1339,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Haplophaedia",0.511750586,0.973764309,7.312239507,0.142143345,1.956957148,1.874736376,2.021897848,1.956957148,"Low",0.400749561861932,49.2943331729661,0.00885011668473684
"White-bellied Mountain-gem","Lampornis hemileucus",1524,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lampornis",0.511147083,0.939092858,8.100300219,0.142143345,1.94724501,1.957010827,1.984697917,1.957010827,"Low",0.40741950729504,50.2934465404655,0.00217477033214059
